codigo_dane,municipio,tasa_incidencia,tasa_mortalidad
05425,MACEO,3915.7982,1005.1253
25426,MACHETÁ,3074.366,847.4505
25430,MADRID,10660.9032,3016.922
13430,MAGANGUÉ,7708.874,1204.3977
52427,MAGÜÍ,1233.9068,224.7513
13433,MAHATES,1585.2405,229.1485
44430,MAICAO,7150.0398,4321.0573
70429,MAJAGUAL,1232.5261,739.6091
08433,MALAMBO,7523.0941,3220.069
52435,MALLAMA,2260.2937,1313.8077
08436,MANATÍ,6506.8217,1601.2955
44560,MANAURE,1538.6378,1029.8172
20443,MANAURE BALCÓN DEL CESAR,4101.3891,1589.8924
17001,MANIZALES,17551.6617,1926.0378
25436,MANTA,3688.5226,453.5286
17433,MANZANARES,4860.0113,1055.5427
85139,MANÍ,7016.5123,2064.0345
94663,MAPIRIPANA (ANM),,
50325,MAPIRIPÁN,2471.1667,576.9632
13440,MARGARITA,2027.1365,639.2024
05440,MARINILLA,10822.208,2398.3094
15442,MARIPÍ,2389.1217,482.572
17442,MARMATO,8271.1357,1577.9905
17444,MARQUETALIA,4671.2891,1603.6246
66440,MARSELLA,2264.516,764.2744
17446,MARULANDA,5184.095,251.6667
13442,MARÍA LA BAJA,2475.6888,216.5103
68444,MATANZA,2489.5702,1294.3037
05001,MEDELLÍN,20320.262,3454.3258
25438,MEDINA,4310.4572,1545.1304
27425,MEDIO ATRATO,139.8532,0.0
27430,MEDIO BAUDÓ,367.2726,127.0602
27450,MEDIO SAN JUAN,892.6039,264.2442
73449,MELGAR,9868.5904,2393.9422
19450,MERCADERES,1568.7366,601.9079
50330,MESETAS,2468.9079,868.6925
18460,MILÁN,2063.9205,1010.8436
95200,MIRAFLORES,4005.9805,823.6086
15455,MIRAFLORES,7303.6998,1613.4241
19455,MIRANDA,3108.6886,1600.5536
91460,MIRITÍ - PARANÁ (ANM),1689.8806,0.0
66456,MISTRATÓ,2061.8829,878.6205
97001,MITÚ,7381.1564,1011.4403
86001,MOCOA,10471.9931,3029.3717
68464,MOGOTES,3310.2627,1643.1078
68468,MOLAGAVITA,1231.095,397.0652
23464,MOMIL,4002.9604,1146.6652
15464,MONGUA,1817.1996,930.7271
15466,MONGUÍ,6392.8375,2311.2763
15469,MONIQUIRÁ,9877.4597,1777.7362
